created_at;komentar;username;case_folding;cleaning;tokenizing;normalisasi;stopword;lemmatisasi;cluster;Cluster Label
Mon Feb 05 11:37:08 +0000 2024;Olahraga tradisional Indonesia: pencak silat sepak takraw/raga dam-daman jemparingan lompat batu pacu jalur pathol gulat okol egrang terompah panjang/bakiak gobak sodor tarik tambang dagongan sumpitan gasing lari balok balap karung panjat pinang karapan sapi.;ochtend_;olahraga tradisional indonesia: pencak silat sepak takraw/raga dam-daman jemparingan lompat batu pacu jalur pathol gulat okol egrang terompah panjang/bakiak gobak sodor tarik tambang dagongan sumpitan gasing lari balok balap karung panjat pinang karapan sapi.;olahraga tradisional indonesia pencak silat sepak takrawraga damdaman jemparingan lompat batu pacu jalur pathol gulat okol egrang terompah panjangbakiak gobak sodor tarik tambang dagongan sumpitan gasing lari balok balap karung panjat pinang karapan sapi;['olahraga', 'tradisional', 'indonesia', 'pencak', 'silat', 'sepak', 'takrawraga', 'damdaman', 'jemparingan', 'lompat', 'batu', 'pacu', 'jalur', 'pathol', 'gulat', 'okol', 'egrang', 'terompah', 'panjangbakiak', 'gobak', 'sodor', 'tarik', 'tambang', 'dagongan', 'sumpitan', 'gasing', 'lari', 'balok', 'balap', 'karung', 'panjat', 'pinang', 'karapan', 'sapi'];['olahraga', 'tradisional', 'indonesia', 'pencak', 'silat', 'sepak', 'takrawraga', 'damdaman', 'jemparingan', 'lompat', 'batu', 'pacu', 'jalur', 'pathol', 'gulat', 'okol', 'egrang', 'terompah', 'panjangbakiak', 'gobak', 'sodor', 'tarik', 'tambang', 'dagongan', 'sumpitan', 'gasing', 'lari', 'balok', 'balap', 'karung', 'panjat', 'pinang', 'karapan', 'sapi'];olahraga tradisional indonesia pencak silat sepak takrawraga damdaman jemparingan lompat batu pacu jalur pathol gulat okol egrang terompah panjangbakiak gobak sodor tarik tambang dagongan sumpitan gasing lari balok balap karung panjat pinang karapan sapi;olahraga tradisional indonesia pencak silat sepak takrawraga damdaman jemparing lompat batu pacu jalur pathol gulat okol egrang terompah panjangbakiak gobak sodor tarik tambang dagongan sumpit gasing lari balok balap karung panjat pinang karapan sapi;0;Positif
Mon Feb 05 11:37:02 +0000 2024;Sukan tradisional Indonesia: pencak silat sepak takraw/raga dam-daman/catur jemparingan lompat batu pacu jalur pathol gulat okol egrang terompah panjang/bakiak gobak sodor tarik tambang dagongan sumpitan gasing lari balok balap karung panjat pinang karapan sapi.;ochtend_;sukan tradisional indonesia: pencak silat sepak takraw/raga dam-daman/catur jemparingan lompat batu pacu jalur pathol gulat okol egrang terompah panjang/bakiak gobak sodor tarik tambang dagongan sumpitan gasing lari balok balap karung panjat pinang karapan sapi.;sukan tradisional indonesia pencak silat sepak takrawraga damdamancatur jemparingan lompat batu pacu jalur pathol gulat okol egrang terompah panjangbakiak gobak sodor tarik tambang dagongan sumpitan gasing lari balok balap karung panjat pinang karapan sapi;['sukan', 'tradisional', 'indonesia', 'pencak', 'silat', 'sepak', 'takrawraga', 'damdamancatur', 'jemparingan', 'lompat', 'batu', 'pacu', 'jalur', 'pathol', 'gulat', 'okol', 'egrang', 'terompah', 'panjangbakiak', 'gobak', 'sodor', 'tarik', 'tambang', 'dagongan', 'sumpitan', 'gasing', 'lari', 'balok', 'balap', 'karung', 'panjat', 'pinang', 'karapan', 'sapi'];['sukan', 'tradisional', 'indonesia', 'pencak', 'silat', 'sepak', 'takrawraga', 'damdamancatur', 'jemparingan', 'lompat', 'batu', 'pacu', 'jalur', 'pathol', 'gulat', 'okol', 'egrang', 'terompah', 'panjangbakiak', 'gobak', 'sodor', 'tarik', 'tambang', 'dagongan', 'sumpitan', 'gasing', 'lari', 'balok', 'balap', 'karung', 'panjat', 'pinang', 'karapan', 'sapi'];sukan tradisional indonesia pencak silat sepak takrawraga damdamancatur jemparingan lompat batu pacu jalur pathol gulat okol egrang terompah panjangbakiak gobak sodor tarik tambang dagongan sumpitan gasing lari balok balap karung panjat pinang karapan sapi;sukan tradisional indonesia pencak silat sepak takrawraga damdamancatur jemparing lompat batu pacu jalur pathol gulat okol egrang terompah panjangbakiak gobak sodor tarik tambang dagongan sumpit gasing lari balok balap karung panjat pinang karapan sapi;0;Positif
Mon Feb 05 05:28:06 +0000 2024;@Partono_ADjem Karapan sapi apa panjat pinang;G0mb4k;@partono_adjem karapan sapi apa panjat pinang;partonoadjem karapan sapi apa panjat pinang;['partonoadjem', 'karapan', 'sapi', 'apa', 'panjat', 'pinang'];['partonoadjem', 'karapan', 'sapi', 'apa', 'panjat', 'pinang'];partonoadjem karapan sapi panjat pinang;partonoadjem karapan sapi panjat pinang;0;Positif
Thu Feb 01 07:11:32 +0000 2024;Dengan sigap #TimJolodoro menjangkau satu anak yang sering kali mandi di kolam tersebut. Ternyata anak ini hampir setiap sore mandi di kolam Karapan Sapi tersebut.;satpolppsby;dengan sigap #timjolodoro menjangkau satu anak yang sering kali mandi di kolam tersebut. ternyata anak ini hampir setiap sore mandi di kolam karapan sapi tersebut.;dengan sigap timjolodoro menjangkau satu anak yang sering kali mandi di kolam tersebut ternyata anak ini hampir setiap sore mandi di kolam karapan sapi tersebut;['dengan', 'sigap', 'timjolodoro', 'menjangkau', 'satu', 'anak', 'yang', 'sering', 'kali', 'mandi', 'di', 'kolam', 'tersebut', 'ternyata', 'anak', 'ini', 'hampir', 'setiap', 'sore', 'mandi', 'di', 'kolam', 'karapan', 'sapi', 'tersebut'];['dengan', 'sigap', 'timjolodoro', 'menjangkau', 'satu', 'anak', 'yang', 'sering', 'kali', 'mandi', 'di', 'kolam', 'tersebut', 'ternyata', 'anak', 'ini', 'hampir', 'setiap', 'sore', 'mandi', 'di', 'kolam', 'karapan', 'sapi', 'tersebut'];dengan sigap timjolodoro menjangkau anak kali mandi kolam anak sore mandi kolam karapan sapi tersebut;dengan sigap timjolodoro jangkau anak kali mandi kolam anak sore mandi kolam karapan sapi sebut;0;Positif
Thu Feb 01 07:11:30 +0000 2024;ASYIK MANDI DI AIR MANCUR AWAS ADIK KECIL NANTI KENA TEGUR Menindaklanjuti laporan warga melalui 112??? adanya adik yang sedang bermain bahkan mandi didalam kolam di Patung Karapan Sapi yang berada di Jalan Basuki Rahmat. https://t.co/ErJSEWawPr;satpolppsby;asyik mandi di air mancur awas adik kecil nanti kena tegur menindaklanjuti laporan warga melalui 112??? adanya adik yang sedang bermain bahkan mandi didalam kolam di patung karapan sapi yang berada di jalan basuki rahmat. https://t.co/erjsewawpr;asyik mandi di air mancur awas adik kecil nanti kena tegur menindaklanjuti laporan warga melalui  adanya adik yang sedang bermain bahkan mandi didalam kolam di patung karapan sapi yang berada di jalan basuki rahmat httpstcoerjsewawpr;['asyik', 'mandi', 'di', 'air', 'mancur', 'awas', 'adik', 'kecil', 'nanti', 'kena', 'tegur', 'menindaklanjuti', 'laporan', 'warga', 'melalui', 'adanya', 'adik', 'yang', 'sedang', 'bermain', 'bahkan', 'mandi', 'didalam', 'kolam', 'di', 'patung', 'karapan', 'sapi', 'yang', 'berada', 'di', 'jalan', 'basuki', 'rahmat', 'httpstcoerjsewawpr'];['asyik', 'mandi', 'di', 'air', 'mancur', 'awas', 'adik', 'kecil', 'nanti', 'kena', 'tegur', 'menindaklanjuti', 'laporan', 'warga', 'melalui', 'adanya', 'adik', 'yang', 'sedang', 'bermain', 'bahkan', 'mandi', 'didalam', 'kolam', 'di', 'patung', 'karapan', 'sapi', 'yang', 'berada', 'di', 'jalan', 'basuki', 'rahmat', 'httpstcoerjsewawpr'];asyik mandi air mancur awas adik kena tegur menindaklanjuti laporan warga adik bermain mandi didalam kolam patung karapan sapi jalan basuki rahmat httpstcoerjsewawpr;asyik mandi air mancur awas adik kena tegur menindaklanjuti lapor warga adik main mandi dalam kolam patung karapan sapi jalan basuki rahmat httpstcoerjsewawpr;0;Positif
Thu Feb 01 05:41:18 +0000 2024;@RuangLucuu Uang logam seratus rupiah gambar karapan sapi.. Bisa buat beli bubur ayam sama es teh;rakun_biasa;@ruanglucuu uang logam seratus rupiah gambar karapan sapi.. bisa buat beli bubur ayam sama es teh;ruanglucuu uang logam seratus rupiah gambar karapan sapi bisa buat beli bubur ayam sama es teh;['ruanglucuu', 'uang', 'logam', 'seratus', 'rupiah', 'gambar', 'karapan', 'sapi', 'bisa', 'buat', 'beli', 'bubur', 'ayam', 'sama', 'es', 'teh'];['ruanglucuu', 'uang', 'logam', 'seratus', 'rupiah', 'gambar', 'karapan', 'sapi', 'bisa', 'buat', 'beli', 'bubur', 'ayam', 'sama', 'es', 'teh'];ruanglucuu uang logam seratus rupiah gambar karapan sapi beli bubur ayam es teh;ruanglucuu uang logam ratus rupiah gambar karapan sapi beli bubur ayam es teh;0;Positif
Wed Jan 31 02:13:06 +0000 2024;@DarwinFisman @Adriandhy tapi ini nadin amizah. dia suka belajar kata2 dan cari arti kata secara spesifik terus dia juga suka main multiple layer di lirik lagunya. ada kemungkinan dia sengaja tulis itu karena memang tau arti Bajingan yg karapan sapi untuk;wrenchingband;@darwinfisman @adriandhy tapi ini nadin amizah. dia suka belajar kata2 dan cari arti kata secara spesifik terus dia juga suka main multiple layer di lirik lagunya. ada kemungkinan dia sengaja tulis itu karena memang tau arti bajingan yg karapan sapi untuk;darwinfisman adriandhy tapi ini nadin amizah dia suka belajar kata dan cari arti kata secara spesifik terus dia juga suka main multiple layer di lirik lagunya ada kemungkinan dia sengaja tulis itu karena memang tau arti bajingan yg karapan sapi untuk;['darwinfisman', 'adriandhy', 'tapi', 'ini', 'nadin', 'amizah', 'dia', 'suka', 'belajar', 'kata', 'dan', 'cari', 'arti', 'kata', 'secara', 'spesifik', 'terus', 'dia', 'juga', 'suka', 'main', 'multiple', 'layer', 'di', 'lirik', 'lagunya', 'ada', 'kemungkinan', 'dia', 'sengaja', 'tulis', 'itu', 'karena', 'memang', 'tau', 'arti', 'bajingan', 'yg', 'karapan', 'sapi', 'untuk'];['darwinfisman', 'adriandhy', 'tapi', 'ini', 'nadin', 'amizah', 'dia', 'suka', 'belajar', 'kata', 'dan', 'cari', 'arti', 'kata', 'secara', 'spesifik', 'terus', 'dia', 'juga', 'suka', 'main', 'multiple', 'layer', 'di', 'lirik', 'lagunya', 'ada', 'kemungkinan', 'dia', 'sengaja', 'tulis', 'itu', 'karena', 'memang', 'tau', 'arti', 'bajingan', 'yang', 'karapan', 'sapi', 'untuk'];darwinfisman adriandhy nadin amizah suka belajar cari arti spesifik suka main multiple layer lirik lagunya sengaja tulis tau arti bajingan karapan sapi untuk;darwinfisman adriandhy nadin amizah suka ajar cari arti spesifik suka main multiple layer lirik lagu sengaja tulis tau arti bajing karapan sapi untuk;0;Positif
Tue Jan 30 16:11:50 +0000 2024;@Adriandhy @Eightyeightpm Kalau lagu dari tahun 40an mungkin wajar tapi dengan perkembangan zaman sehingga terjadi pergeseran makna saat ini kata bajingan udah gk relevan diartikan sebagai joki karapan sapi;DarwinFisman;@adriandhy @eightyeightpm kalau lagu dari tahun 40an mungkin wajar tapi dengan perkembangan zaman sehingga terjadi pergeseran makna saat ini kata bajingan udah gk relevan diartikan sebagai joki karapan sapi;adriandhy eightyeightpm kalau lagu dari tahun an mungkin wajar tapi dengan perkembangan zaman sehingga terjadi pergeseran makna saat ini kata bajingan udah gk relevan diartikan sebagai joki karapan sapi;['adriandhy', 'eightyeightpm', 'kalau', 'lagu', 'dari', 'tahun', 'an', 'mungkin', 'wajar', 'tapi', 'dengan', 'perkembangan', 'zaman', 'sehingga', 'terjadi', 'pergeseran', 'makna', 'saat', 'ini', 'kata', 'bajingan', 'udah', 'gk', 'relevan', 'diartikan', 'sebagai', 'joki', 'karapan', 'sapi'];['adriandhy', 'eightyeightpm', 'kalau', 'lagu', 'dari', 'tahun', 'an', 'mungkin', 'wajar', 'tapi', 'dengan', 'perkembangan', 'zaman', 'sehingga', 'terjadi', 'pergeseran', 'makna', 'saat', 'ini', 'kata', 'bajingan', 'sudah', 'tidak', 'relevan', 'diartikan', 'sebagai', 'joki', 'karapan', 'sapi'];adriandhy eightyeightpm lagu an wajar perkembangan zaman pergeseran makna bajingan relevan diartikan joki karapan sapi;adriandhy eightyeightpm lagu an wajar kembang zaman geser makna bajing relevan arti joki karapan sapi;0;Positif
Sun Jan 28 23:53:08 +0000 2024;pengen recreate kek yzak n dearka. tp naik karapan sapi tu kudu ke ishigaki banget;SunflowerPink4;pengen recreate kek yzak n dearka. tp naik karapan sapi tu kudu ke ishigaki banget;pengen recreate kek yzak n dearka tp naik karapan sapi tu kudu ke ishigaki banget;['pengen', 'recreate', 'kek', 'yzak', 'n', 'dearka', 'tp', 'naik', 'karapan', 'sapi', 'tu', 'kudu', 'ke', 'ishigaki', 'banget'];['pengin', 'recreate', 'kayak', 'yzak', 'n', 'dearka', 'tapi', 'naik', 'karapan', 'sapi', 'itu', 'kudu', 'ke', 'ishigaki', 'banget'];pengin recreate kayak yzak n dearka karapan sapi kudu ishigaki banget;pengin recreate kayak yzak n dearka karapan sapi kudu ishigaki banget;0;Positif
Sun Jan 28 11:55:37 +0000 2024;@SunflowerPink4 Macem yakuza yg naik karapan sapi hahahahahaha;Aku_unko;@sunflowerpink4 macem yakuza yg naik karapan sapi hahahahahaha;sunflowerpink macem yakuza yg naik karapan sapi hahahahahaha;['sunflowerpink', 'macem', 'yakuza', 'yg', 'naik', 'karapan', 'sapi', 'hahahahahaha'];['sunflowerpink', 'macam', 'yakuza', 'yang', 'naik', 'karapan', 'sapi', 'hahahahahaha'];sunflowerpink yakuza karapan sapi hahahahahaha;sunflowerpink yakuza karapan sapi hahahahahaha;0;Positif
Sun Jan 28 11:51:58 +0000 2024;Woeee yzak dearka napa lu udh naik karapan sapi duluaann? Gw belooommm;SunflowerPink4;woeee yzak dearka napa lu udh naik karapan sapi duluaann? gw belooommm;woeee yzak dearka napa lu udh naik karapan sapi duluaann gw belooommm;['woeee', 'yzak', 'dearka', 'napa', 'lu', 'udh', 'naik', 'karapan', 'sapi', 'duluaann', 'gw', 'belooommm'];['woeee', 'yzak', 'dearka', 'kenapa', 'kamu', 'sudah', 'naik', 'karapan', 'sapi', 'duluaann', 'gue', 'belooommm'];woeee yzak dearka karapan sapi duluaann gue belooommm;woeee yzak dearka karapan sapi duluaann gue belooommm;0;Positif
Sun Jan 28 03:53:13 +0000 2024;budaya dan sejarah Kabupaten Bangkalan. Sehingga bukan hanya Karapan Sapi saja yang terkenal tetapi ada juga Festival Seribu Satu Menu Bebek Festival Tellasan Petto' Bangkalan Carnival dan festival budaya lainnya terutama Even unggulan Malam Terak Bulan . #Lanyalla #Dpdri;SpiritLanyalla;budaya dan sejarah kabupaten bangkalan. sehingga bukan hanya karapan sapi saja yang terkenal tetapi ada juga festival seribu satu menu bebek festival tellasan petto' bangkalan carnival dan festival budaya lainnya terutama even unggulan malam terak bulan . #lanyalla #dpdri;budaya dan sejarah kabupaten bangkalan sehingga bukan hanya karapan sapi saja yang terkenal tetapi ada juga festival seribu satu menu bebek festival tellasan petto bangkalan carnival dan festival budaya lainnya terutama even unggulan malam terak bulan  lanyalla dpdri;['budaya', 'dan', 'sejarah', 'kabupaten', 'bangkalan', 'sehingga', 'bukan', 'hanya', 'karapan', 'sapi', 'saja', 'yang', 'terkenal', 'tetapi', 'ada', 'juga', 'festival', 'seribu', 'satu', 'menu', 'bebek', 'festival', 'tellasan', 'petto', 'bangkalan', 'carnival', 'dan', 'festival', 'budaya', 'lainnya', 'terutama', 'even', 'unggulan', 'malam', 'terak', 'bulan', 'lanyalla', 'dpdri'];['budaya', 'dan', 'sejarah', 'kabupaten', 'bangkalan', 'sehingga', 'bukan', 'hanya', 'karapan', 'sapi', 'saja', 'yang', 'terkenal', 'tetapi', 'ada', 'juga', 'festival', 'seribu', 'satu', 'menu', 'bebek', 'festival', 'tellasan', 'petto', 'bangkalan', 'carnival', 'dan', 'festival', 'budaya', 'lainnya', 'terutama', 'even', 'unggulan', 'malam', 'terak', 'bulan', 'lanyalla', 'dpdri'];budaya sejarah kabupaten bangkalan karapan sapi terkenal festival seribu menu bebek festival tellasan petto bangkalan carnival festival budaya even unggulan malam terak lanyalla dpdri;budaya sejarah kabupaten bangkal karapan sapi kenal festival ribu menu bebek festival tellasan petto bangkal carnival festival budaya even unggul malam terak lanyalla dpdri;0;Positif
Sat Jan 27 16:46:17 +0000 2024;@sopir_idiot Anjay ku kira karapan sapi.. ternyata;dewajoshua;@sopir_idiot anjay ku kira karapan sapi.. ternyata;sopiridiot anjay ku kira karapan sapi ternyata;['sopiridiot', 'anjay', 'ku', 'kira', 'karapan', 'sapi', 'ternyata'];['sopiridiot', 'anjay', 'ku', 'kira', 'karapan', 'sapi', 'ternyata'];sopiridiot anjay ku karapan sapi ternyata;sopiridiot anjay ku karapan sapi nyata;0;Positif
Sat Jan 27 11:36:11 +0000 2024;Indonesia traditional sport: pencak silat sepak takraw/raga dam-daman jemparingan lompat batu pacu jalur pathol gulat okol egrang terompah panjang/bakiak gobak sodor tarik tambang dagongan sumpitan gasing lari balok balap karung panjat pinang karapan sapi.;ochtend_;indonesia traditional sport: pencak silat sepak takraw/raga dam-daman jemparingan lompat batu pacu jalur pathol gulat okol egrang terompah panjang/bakiak gobak sodor tarik tambang dagongan sumpitan gasing lari balok balap karung panjat pinang karapan sapi.;indonesia traditional sport pencak silat sepak takrawraga damdaman jemparingan lompat batu pacu jalur pathol gulat okol egrang terompah panjangbakiak gobak sodor tarik tambang dagongan sumpitan gasing lari balok balap karung panjat pinang karapan sapi;['indonesia', 'traditional', 'sport', 'pencak', 'silat', 'sepak', 'takrawraga', 'damdaman', 'jemparingan', 'lompat', 'batu', 'pacu', 'jalur', 'pathol', 'gulat', 'okol', 'egrang', 'terompah', 'panjangbakiak', 'gobak', 'sodor', 'tarik', 'tambang', 'dagongan', 'sumpitan', 'gasing', 'lari', 'balok', 'balap', 'karung', 'panjat', 'pinang', 'karapan', 'sapi'];['indonesia', 'traditional', 'sport', 'pencak', 'silat', 'sepak', 'takrawraga', 'damdaman', 'jemparingan', 'lompat', 'batu', 'pacu', 'jalur', 'pathol', 'gulat', 'okol', 'egrang', 'terompah', 'panjangbakiak', 'gobak', 'sodor', 'tarik', 'tambang', 'dagongan', 'sumpitan', 'gasing', 'lari', 'balok', 'balap', 'karung', 'panjat', 'pinang', 'karapan', 'sapi'];indonesia traditional sport pencak silat sepak takrawraga damdaman jemparingan lompat batu pacu jalur pathol gulat okol egrang terompah panjangbakiak gobak sodor tarik tambang dagongan sumpitan gasing lari balok balap karung panjat pinang karapan sapi;indonesia traditional sport pencak silat sepak takrawraga damdaman jemparing lompat batu pacu jalur pathol gulat okol egrang terompah panjangbakiak gobak sodor tarik tambang dagongan sumpit gasing lari balok balap karung panjat pinang karapan sapi;0;Positif
Sat Jan 27 11:36:05 +0000 2024;Olahraga tradisional Indonesia: pencak silat sepak takraw/raga dam-daman jemparingan lompat batu pacu jalur pathol gulat okol egrang terompah panjang/bakiak gobak sodor tarik tambang dagongan sumpitan gasing lari balok balap karung panjat pinang karapan sapi.;ochtend_;olahraga tradisional indonesia: pencak silat sepak takraw/raga dam-daman jemparingan lompat batu pacu jalur pathol gulat okol egrang terompah panjang/bakiak gobak sodor tarik tambang dagongan sumpitan gasing lari balok balap karung panjat pinang karapan sapi.;olahraga tradisional indonesia pencak silat sepak takrawraga damdaman jemparingan lompat batu pacu jalur pathol gulat okol egrang terompah panjangbakiak gobak sodor tarik tambang dagongan sumpitan gasing lari balok balap karung panjat pinang karapan sapi;['olahraga', 'tradisional', 'indonesia', 'pencak', 'silat', 'sepak', 'takrawraga', 'damdaman', 'jemparingan', 'lompat', 'batu', 'pacu', 'jalur', 'pathol', 'gulat', 'okol', 'egrang', 'terompah', 'panjangbakiak', 'gobak', 'sodor', 'tarik', 'tambang', 'dagongan', 'sumpitan', 'gasing', 'lari', 'balok', 'balap', 'karung', 'panjat', 'pinang', 'karapan', 'sapi'];['olahraga', 'tradisional', 'indonesia', 'pencak', 'silat', 'sepak', 'takrawraga', 'damdaman', 'jemparingan', 'lompat', 'batu', 'pacu', 'jalur', 'pathol', 'gulat', 'okol', 'egrang', 'terompah', 'panjangbakiak', 'gobak', 'sodor', 'tarik', 'tambang', 'dagongan', 'sumpitan', 'gasing', 'lari', 'balok', 'balap', 'karung', 'panjat', 'pinang', 'karapan', 'sapi'];olahraga tradisional indonesia pencak silat sepak takrawraga damdaman jemparingan lompat batu pacu jalur pathol gulat okol egrang terompah panjangbakiak gobak sodor tarik tambang dagongan sumpitan gasing lari balok balap karung panjat pinang karapan sapi;olahraga tradisional indonesia pencak silat sepak takrawraga damdaman jemparing lompat batu pacu jalur pathol gulat okol egrang terompah panjangbakiak gobak sodor tarik tambang dagongan sumpit gasing lari balok balap karung panjat pinang karapan sapi;0;Positif
Tue Jan 16 01:17:47 +0000 2024;Pacuan kuda ada tapi karapan sapi tidak disebut. https://t.co/uYRaWyV3Jv;etzionich;pacuan kuda ada tapi karapan sapi tidak disebut. https://t.co/uyrawyv3jv;pacuan kuda ada tapi karapan sapi tidak disebut httpstcouyrawyvjv;['pacuan', 'kuda', 'ada', 'tapi', 'karapan', 'sapi', 'tidak', 'disebut', 'httpstcouyrawyvjv'];['pacuan', 'kuda', 'ada', 'tapi', 'karapan', 'sapi', 'tidak', 'disebut', 'httpstcouyrawyvjv'];pacuan kuda karapan sapi httpstcouyrawyvjv;pacu kuda karapan sapi httpstcouyrawyvjv;0;Positif
Mon Jan 15 11:57:56 +0000 2024;Kata gw lu ikut lomba karapan sapi aja jgn F1;ankalosauyus;kata gw lu ikut lomba karapan sapi aja jgn f1;kata gw lu ikut lomba karapan sapi aja jgn f;['kata', 'gw', 'lu', 'ikut', 'lomba', 'karapan', 'sapi', 'aja', 'jgn', 'f'];['kata', 'gue', 'kamu', 'ikut', 'lomba', 'karapan', 'sapi', 'saja', 'jangan', 'f'];kata gue lomba karapan sapi f;kata gue lomba karapan sapi f;0;Positif
Sun Jan 14 10:46:23 +0000 2024;@hrmnt__ @achmadfauzi_wy Karapan Sapi Madura memang Istimewa;maslumajang;@hrmnt__ @achmadfauzi_wy karapan sapi madura memang istimewa;hrmnt achmadfauziwy karapan sapi madura memang istimewa;['hrmnt', 'achmadfauziwy', 'karapan', 'sapi', 'madura', 'memang', 'istimewa'];['hrmnt', 'achmadfauziwy', 'karapan', 'sapi', 'madura', 'memang', 'istimewa'];hrmnt achmadfauziwy karapan sapi madura istimewa;hrmnt achmadfauziwy karapan sapi madura istimewa;0;Positif
Sun Jan 14 05:26:57 +0000 2024;@AgungBasoeki @khodiheryawan Mas nya ikut karapan sapi gk?;masyanuar;@agungbasoeki @khodiheryawan mas nya ikut karapan sapi gk?;agungbasoeki khodiheryawan mas nya ikut karapan sapi gk;['agungbasoeki', 'khodiheryawan', 'mas', 'nya', 'ikut', 'karapan', 'sapi', 'gk'];['agungbasoeki', 'khodiheryawan', 'mas', 'ya', 'ikut', 'karapan', 'sapi', 'tidak'];agungbasoeki khodiheryawan mas karapan sapi tidak;agungbasoeki khodiheryawan mas karapan sapi tidak;0;Positif
Sat Jan 13 17:06:33 +0000 2024;@taesanloff MU pernah ikut karapan sapi gk;taesanblo;@taesanloff mu pernah ikut karapan sapi gk;taesanloff mu pernah ikut karapan sapi gk;['taesanloff', 'mu', 'pernah', 'ikut', 'karapan', 'sapi', 'gk'];['taesanloff', 'mu', 'pernah', 'ikut', 'karapan', 'sapi', 'tidak'];taesanloff mu karapan sapi tidak;taesanloff mu karapan sapi tidak;0;Positif
Sat Jan 13 16:59:31 +0000 2024;@onedodoorsea AMPUN PLS tp saranku better pemain mu ikut karapan sapi ajh lah enjoy;taesanblo;@onedodoorsea ampun pls tp saranku better pemain mu ikut karapan sapi ajh lah enjoy;onedodoorsea ampun pls tp saranku better pemain mu ikut karapan sapi ajh lah enjoy;['onedodoorsea', 'ampun', 'pls', 'tp', 'saranku', 'better', 'pemain', 'mu', 'ikut', 'karapan', 'sapi', 'ajh', 'lah', 'enjoy'];['onedodoorsea', 'ampun', 'pls', 'tapi', 'saranku', 'better', 'pemain', 'mu', 'ikut', 'karapan', 'sapi', 'saja', 'lah', 'enjoy'];onedodoorsea ampun pls saranku better pemain mu karapan sapi enjoy;onedodoorsea ampun pls saran better main mu karapan sapi enjoy;0;Positif
Fri Jan 12 17:02:09 +0000 2024;@arkhamclinic @Ilhamtob bukan budaya bang. sama aja kek daerah lain kek tawuran di jakarta atau tawuran di daerah timur. yg saya tau budaya madura yg terkenal itu karapan sapi bang. cmiiw;dinoback25;@arkhamclinic @ilhamtob bukan budaya bang. sama aja kek daerah lain kek tawuran di jakarta atau tawuran di daerah timur. yg saya tau budaya madura yg terkenal itu karapan sapi bang. cmiiw;arkhamclinic ilhamtob bukan budaya bang sama aja kek daerah lain kek tawuran di jakarta atau tawuran di daerah timur yg saya tau budaya madura yg terkenal itu karapan sapi bang cmiiw;['arkhamclinic', 'ilhamtob', 'bukan', 'budaya', 'bang', 'sama', 'aja', 'kek', 'daerah', 'lain', 'kek', 'tawuran', 'di', 'jakarta', 'atau', 'tawuran', 'di', 'daerah', 'timur', 'yg', 'saya', 'tau', 'budaya', 'madura', 'yg', 'terkenal', 'itu', 'karapan', 'sapi', 'bang', 'cmiiw'];['arkhamclinic', 'ilhamtob', 'bukan', 'budaya', 'abang', 'sama', 'saja', 'kayak', 'daerah', 'lain', 'kayak', 'tawuran', 'di', 'jakarta', 'atau', 'tawuran', 'di', 'daerah', 'timur', 'yang', 'saya', 'tau', 'budaya', 'madura', 'yang', 'terkenal', 'itu', 'karapan', 'sapi', 'abang', 'cmiiw'];arkhamclinic ilhamtob budaya abang kayak daerah kayak tawuran jakarta tawuran daerah timur tau budaya madura terkenal karapan sapi abang cmiiw;arkhamclinic ilhamtob budaya abang kayak daerah kayak tawur jakarta tawur daerah timur tau budaya madura kenal karapan sapi abang cmiiw;0;Positif
Thu Jan 11 11:00:01 +0000 2024;Karapan sapi merupakan pagelaran unik yang masih terjaga sampai sekarang. Event ini menjadi ikon Madura dan atraksi wisata yang menarik perhatian turis lokal maupun mancanegara. https://t.co/wXKqU5CMKm;IndonesiaKaya;karapan sapi merupakan pagelaran unik yang masih terjaga sampai sekarang. event ini menjadi ikon madura dan atraksi wisata yang menarik perhatian turis lokal maupun mancanegara. https://t.co/wxkqu5cmkm;karapan sapi merupakan pagelaran unik yang masih terjaga sampai sekarang event ini menjadi ikon madura dan atraksi wisata yang menarik perhatian turis lokal maupun mancanegara httpstcowxkqucmkm;['karapan', 'sapi', 'merupakan', 'pagelaran', 'unik', 'yang', 'masih', 'terjaga', 'sampai', 'sekarang', 'event', 'ini', 'menjadi', 'ikon', 'madura', 'dan', 'atraksi', 'wisata', 'yang', 'menarik', 'perhatian', 'turis', 'lokal', 'maupun', 'mancanegara', 'httpstcowxkqucmkm'];['karapan', 'sapi', 'merupakan', 'pagelaran', 'unik', 'yang', 'masih', 'terjaga', 'sampai', 'sekarang', 'event', 'ini', 'menjadi', 'ikon', 'madura', 'dan', 'atraksi', 'wisata', 'yang', 'menarik', 'perhatian', 'turis', 'lokal', 'maupun', 'mancanegara', 'httpstcowxkqucmkm'];karapan sapi pagelaran unik terjaga event ikon madura atraksi wisata menarik perhatian turis lokal mancanegara httpstcowxkqucmkm;karapan sapi pagelaran unik jaga event ikon madura atraksi wisata tarik perhati turis lokal mancanegara httpstcowxkqucmkm;0;Positif
